MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,_sog_impossible,time_delta_seconds,gap_flag,segment_id
257073920,2021-12-31 19:42:21+00:00,29.02643,-90.03872,8.7,76.3,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,,False,0
257073920,2021-12-31 19:43:22+00:00,29.02703,-90.036,8.7,76.5,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,61.0,False,0
257073920,2021-12-31 19:44:31+00:00,29.02768,-90.03293,8.7,76.4,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 19:45:42+00:00,29.02837,-90.02977,8.7,76.3,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 19:47:02+00:00,29.02911,-90.02621,8.7,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,80.0,False,0
257073920,2021-12-31 19:48:11+00:00,29.02978,-90.02315,8.7,76.5,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 19:49:22+00:00,29.03044,-90.01996,8.7,76.4,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 19:50:31+00:00,29.03111,-90.0169,8.7,76.2,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 19:51:42+00:00,29.03178,-90.01368,8.7,76.4,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 19:52:43+00:00,29.03237,-90.01102,8.6,76.3,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,61.0,False,0
257073920,2021-12-31 19:53:51+00:00,29.033,-90.008,8.7,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,68.0,False,0
257073920,2021-12-31 19:55:02+00:00,29.03368,-90.00484,8.6,76.7,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 19:56:12+00:00,29.03434,-90.00171,8.7,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,70.0,False,0
257073920,2021-12-31 19:57:21+00:00,29.03498,-89.99861,8.7,76.6,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 19:58:31+00:00,29.03567,-89.9955,8.7,76.3,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,70.0,False,0
257073920,2021-12-31 19:59:42+00:00,29.03632,-89.99238,8.7,76.6,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 20:00:01+00:00,29.0365,-89.99154,8.6,76.6,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,19.0,False,0
257073920,2021-12-31 20:01:12+00:00,29.03715,-89.98838,8.7,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
257073920,2021-12-31 20:02:22+00:00,29.03784,-89.98528,8.7,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,70.0,False,0
257073920,2021-12-31 20:03:31+00:00,29.03848,-89.98218,8.7,76.3,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 20:04:41+00:00,29.03912,-89.97907,8.7,76.4,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,70.0,False,0
257073920,2021-12-31 20:06:01+00:00,29.03988,-89.97551,8.6,76.4,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,80.0,False,0
257073920,2021-12-31 20:07:13+00:00,29.04058,-89.9723,8.6,76.2,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,72.0,False,0
257073920,2021-12-31 20:08:22+00:00,29.04122,-89.96923,8.7,76.4,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,69.0,False,0
257073920,2021-12-31 20:09:32+00:00,29.04189,-89.96614,8.6,76.5,77.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,70.0,False,0
257073920,2021-12-31 20:10:51+00:00,29.04264,-89.96263,8.7,76.2,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,79.0,False,0
257073920,2021-12-31 20:12:02+00:00,29.0433,-89.95945,8.6,76.5,78.0,ISLAND VICTORY,IMO9745615,LFXV,99.0,3.0,124.0,25.0,8.2,99.0,A,False,71.0,False,0
