mmsi,prev_timestamp,next_timestamp,gap_duration_minutes,gap_duration_hours,last_lat,last_lon,last_sog,last_cog,last_heading,next_lat,next_lon,next_sog,prev_segment_id,next_segment_id,gap_class,overlap_status,evidence_note
338047000,2022-02-01 02:25:40+00:00,2022-02-21 18:49:44+00:00,29784.0667,496.4011,28.96893,-90.03565,20.9,290.6,290.0,28.98495,-90.03277,19.5,3,4,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
338173000,2022-02-15 00:14:40+00:00,2022-02-15 13:49:16+00:00,814.6,13.5767,28.96809,-90.00902,19.8,235.8,,28.97101,-90.00343,8.9,44,45,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
338633000,2022-02-15 04:16:32+00:00,2022-02-18 00:18:02+00:00,4081.5,68.025,29.01877,-89.95156,12.0,95.9,97.0,29.03128,-89.95021,10.6,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
338663000,2022-02-13 00:05:54+00:00,2022-03-20 10:26:08+00:00,51020.2333,850.3372,28.99487,-90.0386,7.5,295.8,292.0,28.96804,-90.02555,7.9,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
366515000,2022-01-12 02:34:31+00:00,2022-02-25 00:44:36+00:00,63250.0833,1054.1681,28.96828,-89.97912,8.9,110.5,109.0,28.96911,-90.03305,9.5,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
366866280,2022-02-11 10:07:57+00:00,2022-02-15 23:11:03+00:00,6543.1,109.0517,28.98609,-90.02965,17.8,220.0,,28.99459,-90.03837,20.1,3,4,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
366911650,2022-02-10 16:21:10+00:00,2022-02-26 13:47:32+00:00,22886.3667,381.4394,28.96836,-90.03733,10.7,107.5,,28.97001,-90.01674,11.1,4,5,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
366983730,2022-01-01 13:26:48+00:00,2022-03-29 13:42:23+00:00,125295.5833,2088.2597,29.0137,-90.03517,19.2,292.1,,29.0037,-90.0336,22.1,1,2,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
366987890,2022-02-13 05:48:46+00:00,2022-02-20 05:30:56+00:00,10062.1667,167.7028,29.0031,-90.03836,9.9,284.9,,29.01377,-90.0368,10.1,13,14,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367007160,2022-01-26 23:43:05+00:00,2022-03-29 02:53:58+00:00,88030.8833,1467.1814,28.98174,-90.03634,8.1,270.9,269.0,29.03876,-89.94991,3.7,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367090270,2022-01-24 18:57:20+00:00,2022-03-06 15:59:49+00:00,58862.4833,981.0414,29.01671,-89.95213,20.2,101.0,,29.01341,-89.95482,19.7,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367123550,2022-02-14 23:33:16+00:00,2022-02-16 04:24:55+00:00,1731.65,28.8608,28.96877,-90.00894,9.9,118.6,,28.9682,-89.97039,9.3,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367135890,2022-02-10 06:55:07+00:00,2022-02-22 15:58:06+00:00,17822.9833,297.0497,29.01663,-89.98965,16.5,96.0,,29.00696,-90.03765,13.6,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367138490,2022-02-07 15:50:03+00:00,2022-02-16 03:28:14+00:00,12218.1833,203.6364,28.96887,-89.99478,17.3,227.9,229.0,28.9694,-89.9537,14.8,15,16,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367197410,2022-02-01 00:52:00+00:00,2022-02-21 07:46:56+00:00,29214.9333,486.9156,29.00586,-90.0377,22.8,291.2,,29.0004,-90.03448,22.5,4,5,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367300160,2022-02-08 16:59:06+00:00,2022-03-10 01:08:18+00:00,42249.2,704.1533,29.01053,-89.9932,9.2,289.2,291.0,29.00511,-90.03823,7.1,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367305570,2022-02-12 15:12:22+00:00,2022-02-15 14:02:25+00:00,4250.05,70.8342,29.042,-89.95874,8.2,19.2,,28.9896,-89.99364,8.0,14,15,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367321740,2022-01-20 00:19:56+00:00,2022-02-20 08:16:50+00:00,45116.9,751.9483,28.97475,-90.03552,25.9,293.5,305.0,28.97036,-90.03387,23.6,4,5,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367327360,2022-02-15 04:26:19+00:00,2022-02-16 06:27:26+00:00,1561.1167,26.0186,28.96869,-90.02878,9.9,286.9,287.0,28.97147,-90.0388,9.3,24,25,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367391920,2022-02-12 08:07:57+00:00,2022-02-20 00:10:41+00:00,11042.7333,184.0456,29.03074,-90.03903,10.8,287.1,284.0,28.97073,-89.95446,11.9,4,5,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367396620,2022-02-15 08:54:41+00:00,2022-02-16 01:35:23+00:00,1000.7,16.6783,28.97116,-90.02274,9.0,122.2,121.0,28.96865,-90.01455,9.0,14,15,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367403640,2022-02-15 09:37:45+00:00,2022-02-16 02:24:10+00:00,1006.4167,16.7736,28.97779,-89.96484,3.0,55.0,,29.01082,-89.95152,2.9,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367411940,2022-02-15 08:32:37+00:00,2022-02-20 06:34:54+00:00,7082.2833,118.0381,28.97084,-90.02402,18.4,122.6,,28.98456,-90.03905,17.1,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367414780,2022-02-15 11:44:07+00:00,2022-02-22 07:25:12+00:00,9821.0833,163.6847,28.99953,-90.03844,10.4,291.4,,28.97178,-90.03184,9.5,9,10,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367419130,2022-02-11 06:06:31+00:00,2022-03-07 09:15:44+00:00,34749.2167,579.1536,29.04204,-89.99435,18.6,20.6,,29.02331,-90.03627,17.2,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367430790,2022-02-06 23:36:43+00:00,2022-03-17 03:01:44+00:00,54925.0167,915.4169,29.01055,-90.03895,4.2,227.2,,29.00388,-90.03864,5.7,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367442150,2022-01-24 20:06:45+00:00,2022-03-16 14:00:15+00:00,73073.5,1217.8917,29.01828,-90.03432,19.6,295.8,295.0,29.00708,-90.03688,20.5,14,15,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367454680,2022-02-13 03:33:48+00:00,2022-02-26 16:59:10+00:00,19525.3667,325.4228,29.01243,-89.95052,9.8,93.1,94.0,29.01003,-89.95209,11.3,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367471840,2022-02-11 12:22:22+00:00,2022-03-01 17:04:08+00:00,26201.7667,436.6961,28.9811,-90.03542,19.3,293.2,291.0,28.99503,-90.03534,18.4,8,9,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367486440,2022-01-31 21:22:03+00:00,2022-02-18 13:31:53+00:00,25449.8333,424.1639,29.01353,-90.03269,18.3,286.6,282.0,28.97622,-90.0354,18.1,9,10,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367510030,2022-02-08 19:26:45+00:00,2022-02-21 11:27:28+00:00,18240.7167,304.0119,28.96997,-90.02826,9.2,121.4,,28.9711,-90.02033,10.0,1,2,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367535850,2022-01-25 13:07:18+00:00,2022-02-19 20:16:43+00:00,36429.4167,607.1569,28.97477,-90.0295,22.6,299.9,301.0,28.96955,-90.01575,20.5,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367543570,2022-01-27 21:06:10+00:00,2022-03-26 00:39:52+00:00,82293.7,1371.5617,29.03903,-90.03363,19.8,288.2,,28.96817,-90.00344,18.4,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367556730,2022-01-31 02:59:49+00:00,2022-03-03 22:51:53+00:00,45832.0667,763.8678,28.97136,-90.036,10.1,284.2,282.0,28.98494,-90.03751,9.5,3,4,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367566040,2022-01-26 01:34:17+00:00,2022-02-21 08:31:24+00:00,37857.1167,630.9519,28.99813,-90.03617,19.8,296.5,301.0,29.01203,-90.0354,19.8,7,8,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367569030,2022-02-14 20:59:20+00:00,2022-02-15 19:47:49+00:00,1368.4833,22.8081,29.00111,-89.95091,8.9,108.0,,29.01025,-89.95171,8.7,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367569850,2022-02-08 15:57:02+00:00,2022-02-19 03:14:40+00:00,15077.6333,251.2939,29.02502,-90.03157,10.5,298.6,,29.01627,-90.03764,9.8,1,2,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367571450,2022-02-11 06:21:19+00:00,2022-02-18 22:09:30+00:00,11028.1833,183.8031,29.03825,-90.03764,18.9,292.0,,29.02396,-90.03348,17.5,0,1,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367598990,2022-02-12 16:39:56+00:00,2022-02-21 18:19:09+00:00,13059.2167,217.6536,28.96993,-89.99408,9.8,162.1,,28.96835,-89.96917,11.2,5,6,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367602240,2022-02-14 20:39:21+00:00,2022-02-16 18:44:11+00:00,2764.8333,46.0806,29.00272,-89.95212,11.6,101.7,99.0,28.98368,-90.03765,10.7,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367603350,2022-02-14 01:32:33+00:00,2022-02-15 23:33:52+00:00,2761.3167,46.0219,28.99365,-89.95001,10.2,108.7,,28.99978,-89.95003,10.3,15,16,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367605680,2022-02-11 09:14:23+00:00,2022-02-25 00:26:49+00:00,19632.4333,327.2072,28.98565,-90.03757,10.0,279.4,,28.97566,-90.03865,8.3,4,5,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367606390,2022-02-15 09:32:26+00:00,2022-02-15 19:25:27+00:00,593.0167,9.8836,28.96848,-90.03466,9.7,243.9,243.0,29.02259,-90.03908,9.7,7,8,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367608850,2022-02-14 22:38:18+00:00,2022-03-02 20:31:27+00:00,22913.15,381.8858,28.97528,-90.03854,17.5,206.8,,29.04148,-90.00543,16.6,3,4,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367613490,2022-02-15 00:27:33+00:00,2022-02-16 01:56:03+00:00,1528.5,25.475,28.96858,-90.02306,10.9,106.0,105.0,28.96862,-90.02535,9.9,19,20,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
367630990,2022-02-15 02:38:38+00:00,2022-02-16 00:44:55+00:00,1326.2833,22.1047,28.96897,-90.02051,10.3,106.3,106.0,28.96817,-89.98562,10.5,2,3,LONG_GAP,GAP_OVERLAP_CANDIDATE,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
