mmsi,gap_start,gap_end,gap_duration_seconds,gap_class,overlaps_origin_window,last_known_lat,last_known_lon,last_known_sog,last_known_cog,last_known_heading,first_reappearance_lat,first_reappearance_lon,first_reappearance_sog,first_reappearance_cog,first_reappearance_heading,observed_gap_displacement_m,expected_displacement_m,displacement_difference_m,displacement_quality,segment_before_gap,segment_after_gap,evidence_note
338173000,2022-02-07 15:23:23+00:00,2022-02-07 18:09:09+00:00,9946.0,SIGNIFICANT_GAP,False,28.97283,-90.02228,16.2,192.2,,28.97372,-89.99269,18.8,,,2880.1688121943685,82889.89238879998,-80009.72357660561,FULL,0,1,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-07 18:26:36+00:00,2022-02-07 19:10:30+00:00,2634.0,SHORT_GAP,False,28.97588,-89.98761,19.2,231.0,,28.97205,-89.99554,18.4,,,881.163041963217,26016.8735232,-25135.710481236783,FULL,1,2,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-07 20:07:01+00:00,2022-02-07 22:23:00+00:00,8159.0,SIGNIFICANT_GAP,False,28.96858,-89.99897,18.9,229.7,,28.99826,-89.95858,2.2,,,5130.921305808514,79329.8884644,-74198.96715859149,FULL,2,3,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-07 23:00:10+00:00,2022-02-07 23:23:10+00:00,1380.0,SHORT_GAP,False,28.99531,-89.95954,1.2,208.4,,28.99115,-89.97069,4.9,,,1178.9795744847556,851.919264,327.06031048475563,FULL,3,4,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 00:58:56+00:00,2022-02-08 01:22:07+00:00,1391.0,SHORT_GAP,False,28.96934,-90.00054,0.0,120.7,,28.9694,-90.00084,0.0,,,29.937498049425187,0.0,29.937498049425187,FULL,4,5,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 01:22:07+00:00,2022-02-08 01:50:56+00:00,1729.0,SHORT_GAP,False,28.9694,-90.00084,0.0,296.9,,28.96932,-90.00069,0.0,,,17.089973753856764,0.0,17.089973753856764,FULL,5,6,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 01:50:56+00:00,2022-02-08 02:42:06+00:00,3070.0,SHORT_GAP,False,28.96932,-90.00069,0.0,142.6,,28.96941,-90.00083,0.0,,,16.90093136397066,0.0,16.90093136397066,FULL,6,7,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 02:48:16+00:00,2022-02-08 03:03:27+00:00,911.0,SHORT_GAP,False,28.96938,-90.00082,0.0,110.2,,28.96938,-90.00081,0.0,,,0.972820700200833,0.0,0.972820700200833,FULL,7,8,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 05:43:16+00:00,2022-02-08 06:04:56+00:00,1300.0,SHORT_GAP,False,28.9694,-90.00082,0.0,299.8,,28.96935,-90.00074,0.0,,,9.564471363063827,0.0,9.564471363063827,FULL,8,9,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 06:24:47+00:00,2022-02-08 07:15:56+00:00,3069.0,SHORT_GAP,False,28.96935,-90.00071,0.6,292.4,,28.96933,-90.00067,0.0,,,4.4819435754932835,947.2971816,-942.8152380245068,FULL,9,10,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
